ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMTPO22N000000001,장소,문화시설,10081284,CGV,북포항점,,100208,CGV,4711310700102350004,경상북도,포항시 북구,덕산동,,235-4,4711310700,4711352000,471133303017,서동로,93,129.3681986,36.04070751,마마682842,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000002,장소,문화시설,10210261,CGV,김해점,,100208,CGV,4825010800111310004,경상남도,김해시,내동,,1131-4,4825010800,4825054000,482503335013,내외중앙로,137,128.8686045,35.24220434,마라245949,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000003,장소,문화시설,10253565,메가박스,제천점,,100212,메가박스,4315010400111450000,충청북도,제천시,남천동,,1145,4315010400,4315053700,431504517810,의병대로18길,1,128.2123407,37.1352931,라사632043,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000004,장소,문화시설,10253568,제물포극장,,,100202,일반극장/영화관,2817710100100530006,인천광역시,미추홀구,숭의동,,53-6,2817710100,2817753000,281773151011,수봉로,3,126.6565312,37.46580773,다사254410,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000005,장소,문화시설,10253586,국도복합영화관,,,100202,일반극장/영화관,4513011700100120001,전라북도,군산시,개복동,,12-1,4513011700,4513053000,451303268070,아리랑로,9,126.7147453,35.98454068,다마292767,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000006,장소,문화시설,10253597,예당시네마,,,100202,일반극장/영화관,4721010100103770018,경상북도,영주시,영주동,,377-18,4721010100,4721055000,472104727058,구성로350번길,24,128.6242353,36.82384657,마바002701,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000007,장소,문화시설,10253603,안동극장,,,100202,일반극장/영화관,4717010200101820002,경상북도,안동시,서부동,,182-2,4717010200,4717051000,471704721470,번영길,27,128.7286338,36.5655504,마바099415,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000008,장소,문화시설,10253615,가고파극장,,,100202,일반극장/영화관,2711014800100090001,대구광역시,중구,동성로1가,,9-1,2711014800,2711056500,271103141006,동성로,76,128.5959909,35.87349072,라마989646,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000009,장소,문화시설,10253621,아카데미극장,,,100202,일반극장/영화관,4213010200103490003,강원도,원주시,평원동,,349-3,4213010200,4213051500,421303219056,평원로,20,127.9535348,37.34872988,라사401278,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000010,장소,문화시설,10253623,석계극장,,,100202,일반극장/영화관,1135010200100460001,서울특별시,노원구,월계동,,46-1,1135010200,1135056000,113503005046,화랑로,337,127.0652052,37.6151912,다사616573,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000011,장소,문화시설,10253628,옥포극장,,,100202,일반극장/영화관,4831010600116700000,경상남도,거제시,옥포동,,1670,4831010600,4831055000,483104811304,서간도길,78,128.6876049,34.89050811,마라085557,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000012,장소,문화시설,10253630,아리랑시네센터,,,100202,일반극장/영화관,1129010300105380098,서울특별시,성북구,정릉동,,538-98,1129013300,1129062000,112903107009,아리랑로,82,127.0138988,37.60030482,다사570557,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000013,장소,문화시설,10253632,동보극장,,,100202,일반극장/영화관,2623010300101650002,부산광역시,부산진구,부전동,,165-2,2623010300,2623052000,262302000010,중앙대로,704,129.0595298,35.15551244,마라420855,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000014,장소,문화시설,10253636,다모아극장,,,100202,일반극장/영화관,3011012000100610006,대전광역시,동구,중동,,61-6,3011012000,3011051500,301103164027,태전로,5,127.4307732,36.33117029,다바937148,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000015,장소,문화시설,10253648,명성극장,,,100202,일반극장/영화관,4725010700100010004,경상북도,상주시,남성동,,1-4,4725010700,4725052000,472503311074,왕산로,219-13,128.1621467,36.41513512,라바593243,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000016,장소,문화시설,10253651,명보극장,,,100202,일반극장/영화관,4418010100104220004,충청남도,보령시,대천동,,422-4,4418010100,4418052500,441803252052,중앙로,125,126.5906132,36.35202974,다바184175,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000017,장소,문화시설,10253656,경동극장,,,100202,일반극장/영화관,4812710600100840034,경상남도,창원시 마산회원구,합성동,,84-34,4812710600,4812758000,481272019003,3.15대로,761,128.5832289,35.23980628,라라985943,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000018,장소,문화시설,10253665,시네마월드,,,100202,일반극장/영화관,4613012800100850025,전라남도,여수시,학동,,85-25,4613012800,4613078000,461303282041,선소로,69,127.6671911,34.75898864,라라153405,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000019,장소,문화시설,10253674,세종극장,,,100202,일반극장/영화관,4113310100141630000,경기도,성남시 중원구,성남동,,4163,4113310100,4113351000,411334337265,성남대로1147번길,3,127.1285586,37.43202082,다사671370,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000020,장소,문화시설,10253683,낙원극장,,,100202,일반극장/영화관,1111013700101950003,서울특별시,종로구,낙원동,,195-3,1111013700,1111061500,111104100057,돈화문로5길,34-3,126.9900105,37.57085164,다사549525,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000021,장소,문화시설,10253687,귀빈극장,,,100202,일반극장/영화관,4729011700103630004,경상북도,경산시,중방동,,363-4,4729011700,4729051000,472904739664,중앙로14길,4,128.7341956,35.82203041,마마114590,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000022,장소,문화시설,10253692,대백예술극장,,,100202,일반극장/영화관,2711015700102140000,대구광역시,중구,대봉동,,214,2711015700,2711068000,271103141013,명덕로,333,128.6064295,35.85580366,라마999627,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000023,장소,문화시설,10253694,국도극장,,,100202,일반극장/영화관,4115010100101700011,경기도,의정부시,의정부동,,170-11,4115010100,4115051000,411504343198,시민로131번길,16,127.0501128,37.73871398,다사603711,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000024,장소,문화시설,10253696,바다극장,,,100202,일반극장/영화관,1111015800102140001,서울특별시,종로구,예지동,,214-1,1111015800,1111061500,111103100021,청계천로,187,126.9984868,37.56935431,다사557523,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000025,장소,문화시설,10253697,밀양시네마,,,100202,일반극장/영화관,4827010200115650016,경상남도,밀양시,내이동,,1565-16,4827010200,4827052000,482703336022,백민로,75-1,128.7462022,35.49929133,마마130233,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000026,장소,문화시설,10253702,문화극장,,,100202,일반극장/영화관,4125010300106160002,경기도,동두천시,생연동,,616-2,4125010300,4125051000,412503189004,동광로,66,127.0557885,37.90836986,다사609899,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
